city_part,price_average
Rospi ćuprija,500000.0
Novi Beograd Blok 41a (GTC),329500.0
Dedinje (RTV Pink),328959.3195876289
Topčider,324393.3333333333
Beograd na vodi,302115.64448669204
Dedinje (Beli dvor),299886.4397590361
Novi Beograd Blok 12 (YUBC),258686.66666666666
Lisičji jarak,257000.0
Dunavski kej,254181.0
Gradic Pejton,250000.0
Novi Beograd Blok 65,249286.51515151514
Strahinjića Bana,248450.0
Novi Beograd Blok 19a,247780.0
Dedinje (25. maj),247162.34615384616
Novi Beograd Blok 9a (Dom Zdravlja),245491.66666666666
Kosančićev venac,240541.66666666666
Novi Beograd Blok 43 (Buvlja pijaca),235000.0
Senjak,232541.87037037036
Kalemegdan,232507.85057471265
Neimar,230139.45945945947
Novi Beograd Blok 11a (Opština NBG),227885.7142857143
Skadarlija,219833.33333333334
Novi Beograd Blok 29,217116.41666666666
Kneza Miloša ( centar ),215916.66666666666
Tašmajdan,214180.0
Vračar (Hram),213693.46153846153
Andrićev venac,212454.54545454544
Terazije ( centar ),211049.8148148148
Stari Grad,210875.14161849712
Manjež,209250.0
Gornji Dorćol,207722.43181818182
Beograđanka ( centar ),203380.76923076922
Cvetni trg,202563.33333333334
Novi Beograd Blok 25 (Arena),202344.25396825396
Čubura,199440.07751937985
Topličin venac,198300.0
Centar (uži),196188.94417077175
Slavija,195785.48387096773
Donji Dorćol,195413.6739130435
Kalenić pijaca,195403.04812834226
Novi Beograd Blok 67a,194376.89743589744
Trg Republike ( centar ),194048.55172413794
Novi Beograd Blok 19 (Sava Centar),193750.0
Vračar (Centar),193431.84020618556
Palilulska pijaca,192166.66666666666
Novi Beograd Blok 30 (B92),191214.8148148148
Zemun (Ćukovac),188988.88888888888
Zvezdin stadion,187880.14285714287
Partizanov stadion,186432.38461538462
Karađorđeva,186000.0
Pionirski park,185983.33333333334
Zeleni venac,183668.9655172414
Kopitareva gradina,181714.2857142857
Novo groblje,180166.66666666666
Gundulićev venac,179582.43243243243
Obilićev venac,178532.96296296295
Tošin bunar,178342.52
Vukov spomenik,173266.67375886525
Novi Beograd Blok 64,172001.4
Cvijićeva,168005.88235294117
Novi Beograd Blok 24 (Super Vero),167800.0
Klinički centar,167777.77777777778
Knez Mihajlova ( centar ),166071.42857142858
Južni bulevar,165233.28282828283
Zemun (Gardoš),165100.0
Bajlonijeva pijaca,164847.2857142857
Belvil,163725.04347826086
Savski venac,163140.8943089431
Novi Beograd Blok 67,162783.33333333334
Crveni krst,161414.25
Lion,161012.58278145696
Autokomanda,160130.6181818182
Novi Beograd Blok 60,159791.375
Bulevar Kr. Aleksandra,158974.04761904763
Politika ( centar ),157900.0
Novi Beograd Blok 11 (Hotel Jugoslavija),157634.06666666668
Banovo brdo,157539.66836734695
Botanička bašta,157178.125
Lipov lad,156539.1891891892
Novi Beograd Blok 22,156130.0
Novi Beograd Blok 16 (Ušće šoping centar),154750.0
Zvezdarska Šuma,154000.0
Ada Ciganlija,152625.0
Sava mala,150981.76470588235
Golf naselje,150738.09523809524
Palata pravde,150599.76
Trošarina,149092.94
Voždovac,143270.04770642202
Bežanija,143099.16666666666
Lekino brdo,142628.8658008658
Novi Beograd Blok 21 (10. Gimnazija),142513.63636363635
Savski trg,140958.62068965516
Bežanijska kosa II,140702.0
Bežanijska kosa I,140502.44444444444
Novi Beograd Blok 58,140000.0
Novi Beograd Blok 31 (Merkator),139725.0
Dušanovac,138820.5806451613
Novi Beograd Blok 28 (Potkovica),138816.66666666666
29. Novembra,138047.61904761905
Novi Beograd Blok 37,137524.83870967742
Hala Pionir,136582.66666666666
Sarajevska,136520.0
Zemun (Centar),136347.08571428573
Đeram pijaca,136172.75862068965
Novi Beograd Blok 72,135636.58536585365
Novi Beograd Blok 23,135183.33333333334
Košutnjak,134600.0
Severni bulevar,134391.33333333334
Zemun (Kej),133733.33333333334
Novi Beograd Blok 63,133659.86956521738
Novi Beograd Blok 38 (OŠ Ratko Mitrović),130733.33333333333
Novi Beograd,130260.08064516129
Novi Beograd Blok 33 (Genex kula),129634.4827586207
Novi Beograd Blok 44 (Piramida),129082.35294117648
Zemun (Bačka),128450.0
Zvezdara,128221.2258064516
Mali mokri lug,127365.33333333333
Čukarica,126575.0
Mirijevo IV,126137.5
Novi Beograd Blok 11c (Stari Merkator),123885.25454545455
Novi Beograd Blok 45 (TC Enjub),123730.57647058823
Denkova bašta,123296.66666666667
Hadžipopovac,123253.33333333333
Šumice,122378.87272727273
Palilula,122157.578125
Zira,122000.0
Novi Beograd Blok 70 (Kineski TC),121220.83333333333
Profesorska kolonija,121066.66666666667
Novi Beograd Blok 61,120916.41791044777
Novi Beograd Blok 8 (Paviljoni),120333.33333333333
Cvetkova pijaca,119657.3125
Stepa Stepanović,119428.57142857143
Novi Beograd Blok 34 (Studentski grad),119360.0
Banjica,119249.2
Novi Beograd Blok 70a,118185.0
Filmski grad,117324.13793103448
Poštanska štedionica,116438.31578947368
Novi Beograd Blok 1 (Fontana),116213.9074074074
Novi Beograd Blok 2,115300.0
Novi Beograd Blok 71,113281.36363636363
Bežanijska kosa III,112438.23529411765
Slavujev venac,112421.25
Kumodraž II,112344.44444444444
Retenzija,111569.4
Cerak,111147.14285714286
Novi Beograd Blok 20 (Hotel Hayat),110500.0
Novi Beograd Blok 32 (Crkva sv. Dimitrija),110000.0
Zemun (Cara Dušana),109842.5925925926
Zemun (Meandri),109716.36363636363
Novi Beograd Blok 62,107819.35064935064
Čukarička padina,107726.08695652174
Novi Beograd Blok 8a,107000.0
Medak padina,106350.0
Učiteljsko naselje,105906.94444444444
Novi Beograd Blok 7 (Paviljoni),105304.58536585367
Zemun (Sutjeska),104950.0
Gradska bolnica,104522.94736842105
Novi Beograd Blok 8a (Paviljoni),102983.33333333333
Cerak vinogradi,102961.53846153847
Vidikovački venac,102833.33333333333
Zemun (Gornji grad),100624.49206349206
Zemun (Kalvarija),100344.73684210527
Zemun (Nova Galenika),99125.0
Medaković I,98822.22222222222
Olimp,98797.4
Kluz,98462.35135135135
Institut za majku i dete,98444.44444444444
Novi Beograd Blok 7a (Paviljoni),98333.33333333333
Novi Beograd Blok 3,96650.0
Novi Beograd Blok 4 (Politehnička akademija),96250.0
Studentski Trg ( centar ),96097.0
Braće Jerković,94422.36170212766
Zemun (Save Kovačevića),94238.25333333333
Bulbuder,92888.78048780488
Konjarnik,91774.21212121213
Novi Beograd Blok 17 (Staro sajmište),91000.0
Rudo,91000.0
Farmaceutski fakultet,89725.0
Miljakovac II,89714.28571428571
Bogoslovija,89023.22727272728
Viline vode,89000.0
Vidikovac,88483.33333333333
Karaburma,88187.045
Labudovo brdo,88048.0
Mirijevo III,87298.2
Medaković II,87166.66666666667
Medaković III,86862.15625
Galenika,86278.57142857143
Žarkovo,84505.77551020408
Julino brdo,84043.6875
Mirijevo II,82099.75
Kanarevo brdo,81181.25
Višnjica,80395.23809523809
Borča IV,80250.0
Makiš,79902.0
Zemun (Novi Grad),78783.33333333333
Skojevsko naselje,78437.33333333333
Višnjička banja,78408.35820895522
Pregrevica,76435.71428571429
Banija,75000.0
Miljakovac I,74351.42857142857
Mirijevo I,74297.75987841946
Petlovo brdo,74112.82051282052
Veljko Vlahović,73333.33333333333
Novi Beograd Blok 49,73095.0
Kumodraž I,72044.18604651163
Plavi Horizonti,71300.0
Zeleno Brdo,70537.30434782608
Bele vode,70026.31578947368
Ledine,69610.91636363637
Jajinci,69336.36363636363
Zemun (Marije Bursać),68710.71428571429
Rakovica,66849.83606557376
Miljakovac III,66330.8
Železnik,66293.75
Resnik,66257.14285714286
Veliki mokri lug,65690.0
Batajnica,65156.51162790698
Cvetanova ćuprija,64604.5
Altina,62160.0
Sremčica,60675.0
Zemun Polje,57661.53846153846
Vidikovačka padina,57357.142857142855
Vojvode Vlahovića,54000.0
Surčin,53835.4
Kneževac,51714.28571428572
Borča I,51665.26315789474
Krnjača,51092.72727272727
Kaluđerica,50268.61946902655
Borča V,49850.0
Borča III,48797.82608695652
Leštane,47846.25
Kotež,42120.833333333336
Grocka,40030.833333333336
Borča II,37250.0
Vinča,36000.0
Barajevo,33380.769230769234
Rušanj,31000.0
Padinska skela,25140.625
Ostružnica,19500.0
