,area,build_year,price,number_of_rooms,level,price_average
0,109.0,1996.2546383436409,196000.0,3.0,1,193431.84020618556
1,23.0,1969.0,50000.0,1.0,1,193431.84020618556
2,23.0,1950.0,40000.0,1.0,0,193431.84020618556
3,11.0,1996.2546383436409,35800.0,1.0,5,193431.84020618556
4,8.0,1996.2546383436409,17000.0,1.0,4,193431.84020618556
5,12.0,1996.2546383436409,36000.0,1.0,5,193431.84020618556
6,23.0,1996.2546383436409,48000.0,1.0,0,193431.84020618556
7,78.0,2022.0,2200.0,3.0,2,193431.84020618556
8,23.0,1996.2546383436409,47900.0,1.0,0,193431.84020618556
9,40.0,1996.2546383436409,2500.0,2.0,0,193431.84020618556
10,91.0,1996.2546383436409,158000.0,4.0,5,193431.84020618556
11,72.0,1996.2546383436409,150000.0,3.0,1,193431.84020618556
12,133.0,2021.0,500000.0,4.0,1,193431.84020618556
13,136.0,1939.0,482800.0,5.0,0,193431.84020618556
14,109.0,2020.0,272500.0,4.0,2,193431.84020618556
15,84.0,1936.0,130000.0,4.0,5,193431.84020618556
16,84.0,1996.2546383436409,220000.0,4.0,3,193431.84020618556
17,80.0,1996.2546383436409,143000.0,3.0,3,193431.84020618556
18,81.0,1973.0,250000.0,3.0,4,193431.84020618556
19,82.0,1996.2546383436409,188600.0,3.0,1,193431.84020618556
20,56.0,2020.0,154000.0,2.0,0,193431.84020618556
21,120.0,1997.0,295000.0,3.0,1,193431.84020618556
22,86.0,1996.2546383436409,206000.0,3.0,3,193431.84020618556
23,103.0,2020.0,257500.0,1.0,0,193431.84020618556
24,125.0,2007.0,288000.0,4.0,1,193431.84020618556
25,53.0,1960.0,150000.0,3.0,0,193431.84020618556
26,76.0,1996.2546383436409,155000.0,3.0,1,193431.84020618556
27,51.0,1996.2546383436409,122000.0,2.0,2,193431.84020618556
28,74.0,2021.0,157753.0,3.0,1,193431.84020618556
29,66.0,2008.0,184000.0,3.0,1,193431.84020618556
30,46.0,2021.0,111039.0,2.0,0,193431.84020618556
31,47.0,2021.0,112330.0,2.0,0,193431.84020618556
32,96.0,2021.0,200550.0,4.0,3,193431.84020618556
33,95.0,2021.0,203325.0,5.0,5,193431.84020618556
34,83.0,1996.2546383436409,160000.0,3.0,0,193431.84020618556
35,72.0,1937.0,135000.0,3.0,3,193431.84020618556
36,102.0,1996.2546383436409,230000.0,3.0,5,193431.84020618556
37,114.0,1996.2546383436409,229000.0,5.0,2,193431.84020618556
38,100.0,1956.0,240000.0,4.0,5,193431.84020618556
39,72.0,1996.2546383436409,155000.0,2.0,3,193431.84020618556
40,56.0,1960.0,139000.0,2.0,2,193431.84020618556
41,110.0,1996.2546383436409,140000.0,4.0,2,193431.84020618556
42,75.0,1996.2546383436409,115000.0,3.0,0,193431.84020618556
43,77.0,1991.0,170000.0,3.0,0,193431.84020618556
44,169.0,1996.2546383436409,510000.0,4.0,4,193431.84020618556
45,96.0,2005.0,240000.0,3.0,0,193431.84020618556
46,167.0,1996.2546383436409,450000.0,5.0,1,193431.84020618556
47,98.0,1996.2546383436409,180000.0,4.0,4,193431.84020618556
48,210.0,1996.2546383436409,338900.0,4.0,4,193431.84020618556
49,72.0,1996.2546383436409,110000.0,3.0,0,193431.84020618556
50,122.0,1996.2546383436409,290000.0,4.0,3,193431.84020618556
51,153.0,1996.2546383436409,330000.0,7.0,5,193431.84020618556
52,104.0,1996.2546383436409,240000.0,4.0,2,193431.84020618556
53,51.0,1996.2546383436409,125000.0,2.0,2,193431.84020618556
54,43.0,1996.2546383436409,110000.0,2.0,1,193431.84020618556
55,87.0,1936.0,219000.0,4.0,3,193431.84020618556
56,63.0,1996.2546383436409,205000.0,3.0,1,193431.84020618556
57,86.0,1996.2546383436409,280000.0,3.0,2,193431.84020618556
58,120.0,1997.0,295000.0,3.0,1,193431.84020618556
59,80.0,1939.0,240000.0,3.0,3,193431.84020618556
60,62.0,2010.0,165000.0,3.0,4,193431.84020618556
61,84.0,1996.2546383436409,194000.0,4.0,2,193431.84020618556
62,177.0,1949.0,730000.0,6.0,1,193431.84020618556
63,120.0,1996.2546383436409,287900.0,3.0,1,193431.84020618556
64,57.0,1996.2546383436409,146000.0,2.0,1,193431.84020618556
65,97.0,1996.2546383436409,275000.0,3.0,2,193431.84020618556
66,206.0,2018.0,550000.0,4.0,6,193431.84020618556
67,90.0,1939.0,220000.0,3.0,0,193431.84020618556
68,96.0,2021.0,181400.0,5.0,0,193431.84020618556
69,88.0,2021.0,216261.0,4.0,1,193431.84020618556
70,88.0,2021.0,216261.0,4.0,4,193431.84020618556
71,88.0,2021.0,216261.0,4.0,2,193431.84020618556
72,93.0,2021.0,175770.0,4.0,4,193431.84020618556
73,90.0,2021.0,220769.0,3.0,5,193431.84020618556
74,86.0,2021.0,162540.0,4.0,3,193431.84020618556
75,86.0,2021.0,162540.0,4.0,4,193431.84020618556
76,86.0,2021.0,162540.0,4.0,5,193431.84020618556
77,85.0,2021.0,208348.0,3.0,3,193431.84020618556
78,85.0,2021.0,208348.0,3.0,2,193431.84020618556
79,82.0,1996.2546383436409,245000.0,4.0,4,193431.84020618556
80,86.0,2021.0,162540.0,4.0,2,193431.84020618556
81,85.0,2021.0,208348.0,3.0,4,193431.84020618556
82,85.0,2021.0,207980.0,3.0,5,193431.84020618556
83,86.0,2021.0,162540.0,4.0,1,193431.84020618556
84,88.0,2021.0,216261.0,4.0,3,193431.84020618556
85,56.0,1969.0,139000.0,2.0,2,193431.84020618556
86,118.0,1996.2546383436409,358000.0,5.0,2,193431.84020618556
87,78.0,2018.0,194000.0,3.0,1,193431.84020618556
88,86.0,1935.0,280000.0,3.0,2,193431.84020618556
89,70.0,1996.2546383436409,199000.0,3.0,0,193431.84020618556
90,42.0,2008.0,130000.0,2.0,1,193431.84020618556
91,56.0,1996.2546383436409,169000.0,2.0,3,193431.84020618556
92,57.0,1996.2546383436409,146000.0,2.0,1,193431.84020618556
93,137.0,1996.2546383436409,370000.0,4.0,3,193431.84020618556
94,137.0,2008.0,310000.0,4.0,5,193431.84020618556
95,86.0,1996.2546383436409,280000.0,3.0,2,193431.84020618556
96,48.0,1996.2546383436409,130000.0,2.0,4,193431.84020618556
97,78.0,1996.2546383436409,195000.0,3.0,1,193431.84020618556
98,110.0,1996.2546383436409,270000.0,4.0,3,193431.84020618556
99,74.0,1996.2546383436409,151000.0,3.0,4,193431.84020618556
100,81.0,1996.2546383436409,184000.0,3.0,1,193431.84020618556
101,92.0,1996.2546383436409,220800.0,4.0,1,193431.84020618556
102,85.0,1996.2546383436409,157250.0,4.0,1,193431.84020618556
103,95.0,2020.0,228000.0,4.0,1,193431.84020618556
104,95.0,2020.0,228000.0,4.0,2,193431.84020618556
105,129.0,1996.2546383436409,324000.0,4.0,4,193431.84020618556
106,62.0,1996.2546383436409,125000.0,3.0,4,193431.84020618556
107,123.0,1996.2546383436409,278500.0,3.0,7,193431.84020618556
108,110.0,1996.2546383436409,230000.0,3.0,5,193431.84020618556
109,120.0,1996.2546383436409,295000.0,3.0,1,193431.84020618556
110,115.0,1996.2546383436409,320000.0,4.0,1,193431.84020618556
111,92.0,1996.2546383436409,198000.0,5.0,3,193431.84020618556
112,72.0,1996.2546383436409,129900.0,4.0,5,193431.84020618556
113,94.0,2013.0,206800.0,4.0,5,193431.84020618556
114,101.0,1996.2546383436409,290000.0,4.0,3,193431.84020618556
115,182.0,2005.0,527800.0,4.0,5,193431.84020618556
116,128.0,2005.0,384000.0,2.0,5,193431.84020618556
117,96.0,1985.0,220000.0,3.0,3,193431.84020618556
118,83.0,2010.0,228000.0,3.0,3,193431.84020618556
119,87.0,2006.0,210000.0,3.0,4,193431.84020618556
120,78.0,1996.2546383436409,153000.0,2.0,3,193431.84020618556
121,41.0,1996.2546383436409,130000.0,2.0,1,193431.84020618556
122,45.0,1996.2546383436409,140000.0,2.0,6,193431.84020618556
123,88.0,1996.2546383436409,193000.0,3.0,9,193431.84020618556
124,87.0,1996.2546383436409,280000.0,3.0,2,193431.84020618556
125,96.0,1996.2546383436409,180000.0,3.0,2,193431.84020618556
